Date,Station,Near/Far,Species,TL_mm,Wt_g_recorded,scale_tare_g,Wt_g,Sex,Retained,Barotrauma,Notes,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,far,black sea bass,251.0,275.0,0.0,275.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,far,black sea bass,291.0,295.0,0.0,295.0,M,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,far,black sea bass,200.0,165.0,0.0,165.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,far,black sea bass,211.0,170.0,0.0,170.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,far,black sea bass,214.0,165.0,0.0,165.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,far,black sea bass,262.0,305.0,0.0,305.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,far,black sea bass,223.0,130.0,0.0,130.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,far,black sea bass,222.0,205.0,0.0,205.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,far,black sea bass,183.0,125.0,0.0,125.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,near,black sea bass,371.0,615.0,0.0,615.0,M,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,near,black sea bass,272.0,345.0,0.0,345.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,near,black sea bass,182.0,90.0,0.0,90.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,near,black sea bass,241.0,210.0,0.0,210.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,near,black sea bass,190.0,180.0,0.0,180.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,near,black sea bass,191.0,145.0,0.0,145.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,near,black sea bass,381.0,680.0,0.0,680.0,M,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,near,black sea bass,221.0,190.0,0.0,190.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,near,black sea bass,280.0,275.0,0.0,275.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,near,black sea bass,184.0,125.0,0.0,125.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,near,black sea bass,215.0,145.0,0.0,145.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,far,black sea bass,236.0,185.0,0.0,185.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,far,black sea bass,268.0,245.0,0.0,245.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,far,black sea bass,312.0,355.0,0.0,355.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,far,black sea bass,281.0,295.0,0.0,295.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,far,black sea bass,190.0,85.0,0.0,85.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,far,black sea bass,286.0,290.0,0.0,290.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,far,black sea bass,299.0,120.0,0.0,120.0,F,N,stomach,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,far,black sea bass,196.0,115.0,0.0,115.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,far,black sea bass,202.0,150.0,0.0,150.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,far,black sea bass,219.0,225.0,0.0,225.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,far,black sea bass,177.0,105.0,0.0,105.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-2,far,black sea bass,192.0,185.0,0.0,185.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,near,black sea bass,264.0,255.0,0.0,255.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,near,black sea bass,227.0,115.0,0.0,115.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,near,black sea bass,293.0,300.0,0.0,300.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,near,black sea bass,201.0,110.0,0.0,110.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,near,black sea bass,215.0,125.0,0.0,125.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,near,black sea bass,324.0,410.0,0.0,410.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,far,black sea bass,253.0,170.0,0.0,170.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,far,black sea bass,202.0,155.0,0.0,155.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,far,black sea bass,379.0,715.0,0.0,715.0,M,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,far,black sea bass,245.0,190.0,0.0,190.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,far,black sea bass,202.0,120.0,0.0,120.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,far,black sea bass,306.0,385.0,0.0,385.0,M,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,far,black sea bass,296.0,370.0,0.0,370.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,far,black sea bass,212.0,165.0,0.0,165.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,far,black sea bass,205.0,160.0,0.0,160.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,far,black sea bass,239.0,205.0,0.0,205.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,far,black sea bass,225.0,250.0,0.0,250.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,far,black sea bass,208.0,105.0,0.0,105.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-15,far,black sea bass,206.0,100.0,0.0,100.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-12,far,black sea bass,213.0,75.0,0.0,75.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-12,far,black sea bass,195.0,115.0,0.0,115.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-12,far,black sea bass,197.0,115.0,0.0,115.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-12,far,black sea bass,226.0,160.0,0.0,160.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-12,far,black sea bass,190.0,120.0,0.0,120.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-12,far,black sea bass,198.0,135.0,0.0,135.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-12,far,black sea bass,220.0,200.0,0.0,200.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-12,near,black sea bass,395.0,665.0,0.0,665.0,M,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-12,near,black sea bass,327.0,465.0,0.0,465.0,M,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-12,near,black sea bass,254.0,210.0,0.0,210.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-12,near,black sea bass,195.0,110.0,0.0,110.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-12,near,black sea bass,175.0,125.0,0.0,125.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-12,near,black sea bass,203.0,200.0,0.0,200.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UM-12,near,black sea bass,189.0,110.0,0.0,110.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UJ-11,far,black sea bass,251.0,205.0,0.0,205.0,M,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UJ-11,far,black sea bass,201.0,170.0,0.0,170.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UJ-11,far,black sea bass,195.0,145.0,0.0,145.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UJ-11,far,scup,200.0,175.0,0.0,175.0,,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UJ-11,near,black sea bass,221.0,205.0,0.0,205.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UJ-11,near,black sea bass,203.0,130.0,0.0,130.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UJ-11,near,black sea bass,246.0,235.0,0.0,235.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UJ-11,near,black sea bass,311.0,375.0,0.0,375.0,M,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UJ-11,near,black sea bass,228.0,175.0,0.0,175.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UJ-11,near,black sea bass,200.0,130.0,0.0,130.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UJ-11,near,black sea bass,178.0,120.0,0.0,120.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,far,black sea bass,233.0,175.0,0.0,175.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,far,black sea bass,204.0,140.0,0.0,140.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,far,black sea bass,300.0,430.0,0.0,430.0,M,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,far,black sea bass,245.0,210.0,0.0,210.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,far,black sea bass,257.0,235.0,0.0,235.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,far,black sea bass,295.0,310.0,0.0,310.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,far,black sea bass,214.0,160.0,0.0,160.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,near,black sea bass,384.0,585.0,0.0,585.0,M,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,near,black sea bass,245.0,225.0,0.0,225.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,near,black sea bass,247.0,250.0,0.0,250.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,near,black sea bass,190.0,125.0,0.0,125.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,near,black sea bass,196.0,110.0,0.0,110.0,F,Y,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,near,black sea bass,234.0,175.0,0.0,175.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,near,black sea bass,294.0,360.0,0.0,360.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,near,black sea bass,287.0,230.0,0.0,230.0,M,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,near,black sea bass,207.0,135.0,0.0,135.0,F,N,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,UH-11,near,black sea bass,246.0,340.0,0.0,340.0,F,N,,,,,,,,,,,,,,,,,,,,
