eventID,eventDate,eventType,parentEventID,footprintWKT,locationID,decimalLatitude,decimalLongitude,minimumDepthInMeters,maximumDepthInMeters,eventRemarks,recordedBy
2404_deploy,2024-04-30T06:32:58 -04:00,deploy cruise,,"LINESTRING (-74.746443 38.183984 -74.744984 38.185299, -74.618962 38.21378 -74.617588 38.215288, -74.651226 38.269569 -74.649257 38.271174, -74.699199 38.268663 NA NA, -74.70771 38.318763 -74.706089 38.320524, -74.705433 38.335469 -74.70413 38.337479)",,,,,,,
2404_recover,2024-05-01T07:31:41 -04:00,recover cruise,,"LINESTRING (-74.74731 38.183471 -74.747199 38.183144, -74.619815 38.21366 -74.620434 38.214002, -74.651829 38.269493 -74.651318 38.270464, -74.699502 38.268472 -74.699557 38.269943, -74.707968 38.318637 -74.707553 38.32024, -74.705943 38.335596 -74.705926 38.337249)",,,,,,,
C2404-1,2024-04-30T06:32:58 -04:00,deploy,2404_deploy,,C2404-1,38.183984,-74.746443,118,118,String deployed release pot first,"MOB, EK, KH, KB"
C2404-2,2024-04-30T07:35:51 -04:00,deploy,2404_deploy,,C2404-2,38.21378,-74.618962,132,132,String deployed release pot first,"MOB, EK, KH, KB"
UM-15,2024-04-30T08:13:12 -04:00,deploy,2404_deploy,,UM-15,38.269569,-74.651226,103,103,String deployed release pot first,"MOB, EK, KH, KB"
UM-12,2024-04-30T08:39:11 -04:00,deploy,2404_deploy,,UM-12,38.268663,-74.699199,99,99,String deployed release pot first,"MOB, EK, KH, KB"
UJ-11,2024-04-30T09:08:18 -04:00,deploy,2404_deploy,,UJ-11,38.318763,-74.70771,93,93,String deployed release pot first,"MOB, EK, KH, KB"
UH-11,2024-04-30T09:21:16 -04:00,deploy,2404_deploy,,UH-11,38.335469,-74.705433,94,94,String deployed release pot first,"MOB, EK, KH, KB"
C2404-1,2024-05-01T07:31:41 -04:00,recover,2404_recover,,C2404-1,38.183471,-74.74731,121,121,,"MOB, EK, KH, KB"
C2404-2,2024-05-01T08:53:05 -04:00,recover,2404_recover,,C2404-2,38.21366,-74.619815,,,,"MOB, EK, KH, KB"
UM-15,2024-05-01T09:54:37 -04:00,recover,2404_recover,,UM-15,38.269493,-74.651829,,,,"MOB, EK, KH, KB"
UM-12,2024-05-01T10:39:41 -04:00,recover,2404_recover,,UM-12,38.268472,-74.699502,,,,"MOB, EK, KH, KB"
UJ-11,2024-05-01T11:22:03 -04:00,recover,2404_recover,,UJ-11,38.318637,-74.707968,,,,"MOB, EK, KH, KB"
UH-11,2024-05-01T11:50:05 -04:00,recover,2404_recover,,UH-11,38.335596,-74.705943,,,,"MOB, EK, KH, KB"
